CN100391035C,,未缴年费,,以二硒化镍薄膜为阴极材料的薄膜锂电池及其制备方法,,,,2006/8/3,2008/5/28,复旦大学,,复旦大学,,,,,,,
CN100391830C,,未缴年费,,锂离子电池正极材料磷酸钒锂的高压制备方法,,,,2006/6/9,2008/6/4,广州鸿森材料有限公司,,广州鸿森材料有限公司,,,,,,,
CN100391855C,,未缴年费 | 权利转移,,一种含锰氧化物的制备方法,,,,2005/7/8,2008/6/4,湖南维邦新能源有限公司,,湖南维邦新能源有限公司,,,,,,,
CN100395904C,,未缴年费,,电池极片加压注液法及其加压注液装置,,,,2004/6/1,2008/6/18,广东风华新能源股份有限公司,,广东风华新能源股份有限公司,,,,,,,
CN100395907C,,未缴年费,,一种锂离子电池正极材料磷酸铁锂的制备方法,,,,2005/12/22,2008/6/18,上海交通大学,,上海交通大学,,,,,,,
CN100396704C,,未缴年费,,水滑石改性聚偏氟乙烯基凝胶电解质的制备方法,,,,2006/1/25,2008/6/25,浙江大学,,浙江大学,,,,,,,
CN100397684C,,未缴年费,,锂离子二次电池正极活性材料及其制备工艺,,,,2004/7/19,2008/6/25,广东风华新能源股份有限公司,,广东风华新能源股份有限公司,,,,,,,
CN100397700C,,未缴年费 | 许可,,薄型锂离子电池及制备方法,,,,2005/11/18,2008/6/25,中国科学院上海微系统与信息技术研究所,,中国科学院上海微系统与信息技术研究所,,,,,,,
CN100398434C,,授权 | 质押 | 保全 | 许可,,一种高性能锂离子电池正极材料磷酸铁锂的制备方法,,,,2005/12/21,2008/7/2,湖南瑞翔新材料股份有限公司,,湖南瑞翔新材料股份有限公司,,,,,,,
CN100398435C,,授权 | 质押 | 保全 | 许可,,一种真空碳热还原法合成磷酸铁锂的方法,,,,2005/12/21,2008/7/2,湖南瑞翔新材料股份有限公司,,湖南瑞翔新材料股份有限公司,,,,,,,
CN100399603C,,授权,,一种非水溶液电化学器件极片及其制造方法,,,,2006/3/30,2008/7/2,星恒电源股份有限公司,,星恒电源股份有限公司,,,,,,,
CN100401558C,,未缴年费,,一种制备锂离子电池材料LiNixMn2－xO4的方法,,,,2005/3/16,2008/7/9,北京大学,,北京大学,,,,,,,
CN100401559C,,未缴年费,,一种锂离子电池用复合负极材料的制备方法,,,,2006/7/13,2008/7/9,上海交通大学,,上海交通大学,,,,,,,
CN100401574C,,授权 | 权利转移,,凝胶增效型聚合物锂离子电池及其制备方法,,,,2006/3/15,2008/7/9,浙江南都电源动力股份有限公司 | 杭州南都电池有限公司,,浙江南都电源动力股份有限公司 | 杭州南都电池有限公司,,,,,,,
